Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Date of Launch,Launch Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1948 ,USA,Commercial,Communications,,LEO,10/24/2020,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1953 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1954 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1955 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1956 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1957 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1958 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1959 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1960 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1961 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1962 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1963 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1964 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1965 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1966 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1967 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1969 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1970 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1971,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1972 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1973 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1974 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1975,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1976 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1977 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1978 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1979 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1980 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1981 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1982 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1983 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1984 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1986 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1987 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1989 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1990 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1991 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1992 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1993 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1994 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1995 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1996 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1997 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1998 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-1999 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2000 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2001 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2002 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2003 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2004 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2005 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2006 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2007 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2008 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2009 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2010 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2011 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2012 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2013 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2014 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2015 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2016 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2017 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2018 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2019 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2020 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2021 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2022 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2024 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2025 ,USA,Commercial,Communications,,LEO,2/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2026 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2027 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2028 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2029 ,USA,Commercial,Communications,,LEO,4/28/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2030 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2031 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2032 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2033 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2034 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2035 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2036 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2037 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2038 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2039 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2040 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2041 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2042 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2043 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2044 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2045 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2046 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2047 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2048 ,USA,Commercial,Communications,,LEO,4/7/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2049 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2050 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2051 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2052 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2053 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2054 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2055 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2056 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2057 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2058 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2059 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2060 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2061 ,USA,Commercial,Communications,,LEO,4/28/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2062 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2063,USA,Commercial,Communications,,LEO,5/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2064 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2065 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2066 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2067 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2068 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2069 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2070 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2071 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2076 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2077 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2078 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2081 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2082 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2083 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2084 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2085 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2086 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2087,USA,Commercial,Communications,,LEO,3/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2088 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2089 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2090 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2092 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2093 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2094 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2095 ,USA,Commercial,Communications,,LEO,2/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2096 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2097 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2098 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2099 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2100 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2101 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2102 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2103 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2104 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2105 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2106 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2107 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2108 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2109 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2110 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2111 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2112 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2113 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2114 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2115 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2116 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2117 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2118 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2119 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2120 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2121 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2122 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2123 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2124 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2125 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2126 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2127 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2128 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2129 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2130 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2131 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2132 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2133 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2134 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2135 ,USA,Commercial,Communications,,LEO,1/20/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2139,USA,Commercial,Communications,,LEO,5/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2140 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2141 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2142 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2143 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2144 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2145,USA,Commercial,Communications,,LEO,5/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2146 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2147 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2148 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2149 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2150 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2151,USA,Commercial,Communications,,LEO,5/15/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2152 ,USA,Commercial,Communications,,LEO,3/4/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlink-2153 ,USA,Commercial,Communications,,LEO,3/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
