Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Date of Launch,Launch Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-4A,Spain,Commercial,Communications,,GEO,3/22/2014,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-5,Spain,Commercial,Communications,,GEO,9/12/2017,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-Nexus,Spain,Commercial,Communications,,GEO,2/7/2023,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonia-1,Brazil,Government,Earth Observation,Optical Imaging,LEO,2/28/2021,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-11,USA,Commercial,Communications,,GEO,5/19/2004,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-15,USA,Commercial,Communications,,GEO,10/14/2004,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-18,USA,Commercial,Communications,,GEO,12/8/2006,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-21,USA,Commercial,Communications,,GEO,8/14/2008,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-6,USA,Commercial,Communications,,GEO,10/22/2000,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmGU-1,Russia,Civil,Space Science,,LEO,7/5/2019,Vostochny Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 17,Israel,Military/Commercial,Communications,,GEO,8/6/2019,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 3,Israel,Military/Commercial,Communications,,GEO,4/28/2008,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 4,Israel,Military/Commercial,Communications,,GEO,8/31/2013,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amsat-Oscar 7,USA,Civil,Communications,,LEO,11/15/1974,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANASIS-II,South Korea,Military,Communications,,GEO,7/20/2020,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDESITE Mule,USA,Civil,Space Science/Technology Demonstration,,LEO,6/13/2020,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGELS,ESA,Government,Communications,,LEO,12/18/2019,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angosat-2,Angola,Government,Communications,,LEO,10/12/2022,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F1,Canada,Commercial,Communications,,GEO,11/21/2000,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F1R,Canada,Commercial,Communications,,GEO,9/9/2005,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F2,Canada,Commercial,Communications,,GEO,7/18/2004,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F3,Canada,Commercial,Communications,,GEO,4/9/2007,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik G1,Canada,Commercial,Communications,,GEO,4/15/2013,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 1,Argentina,Commercial,Communications/Technology Development,,LEO,6/29/2004,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 10,USA/Argentina,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,6/19/2014,Dombarovsky Air Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 2,USA/Argentina,Commercial,Communications/Technology Development,,LEO,6/29/2004,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 3,USA/Argentina,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,7/29/2009,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 4,USA/Argentina,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,7/29/2009,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 5,Canada,Commercial,Communications,Automatic Identification System (AIS),LEO,8/17/2011,Dombarovsky Air Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 7,Canada,Commercial,Communications,Automatic Identification System (AIS),LEO,11/21/2013,Dombarovsky Air Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 8,USA/Argentina,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,11/21/2013,Dombarovsky Air Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 9,USA,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,6/19/2014,Dombarovsky Air Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apstar 6C,China,Commercial,Communications,,GEO,5/3/2018,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apstar 6D,China,Commercial,Communications,,GEO,7/9/2020,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apstar 6E,China,Commercial,Communications,,GEO,1/12/2023,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
